,eng,part,mean
4886,counsellor,noun,"A professional who counsels people, especially on personal problems."
4887,counselor,noun,"A professional who counsels people, especially on personal problems."
4888,counselors,noun,"A professional who counsels people, especially on personal problems."
4889,count,noun,The act of counting or tallying a quantity.
4890,countdown,noun,"A count backward in fixed units to the time of some event, especially the launch of a space vehicle."
4891,counted,verb,To recite numbers in sequence.
4892,countenance,noun,"Appearance, especially the features and expression of the face."
4893,counter,noun,One who counts
4894,counterattack,noun,An attack made in response to an attack by the opponents
4895,counterfeit,noun,A non-genuine article; a fake.
4896,counterfeiting,verb,To falsely produce what appears to be official or valid; to produce a forged copy of.
4897,countermeasures,noun,Any action taken to counteract or correct another.
4898,counteroffer,noun,An offer made in reply to an unacceptable offer.
4899,counterpart,noun,"Either of two parts that fit together, or complement one another."
4900,counterproductive,adjective,More of a hindrance than a help.
4901,countess,noun,The wife of a count or earl.
4902,counties,noun,The land ruled by a count or a countess.
4903,counting,verb,To recite numbers in sequence.
4904,countless,adjective,Too many to count; innumerable or incalculable
4905,countries,noun,"(chiefly British) An area of land; a district, region."
4906,country,noun,"(chiefly British) An area of land; a district, region."
4907,countrymen,noun,Somebody from a certain country.
4908,countryside,noun,"A rural area, or the rural part of a larger area."
4909,counts,noun,The act of counting or tallying a quantity.
4910,county,noun,The land ruled by a count or a countess.
4911,coup,noun,"A quick, brilliant, and highly successful act."
4912,coupe,noun,An ice cream dessert; the glass it is served in.
4913,couple,noun,Two partners in a romantic or sexual relationship.
4914,couples,noun,Two partners in a romantic or sexual relationship.
4915,coupling,verb,"To join (two things) together, or (one thing) to (another)."
4916,coupon,noun,"A section of a ticket, showing the holder to be entitled to some specified accommodation or service, as to a passage over a designated line of travel, a particular seat in a theater, a discount, etc."
4917,coupons,noun,"A section of a ticket, showing the holder to be entitled to some specified accommodation or service, as to a passage over a designated line of travel, a particular seat in a theater, a discount, etc."
4918,courage,noun,"The quality of being confident, not afraid or easily intimidated, but without being incautious or inconsiderate."
4919,courageous,adjective,"Of a person, displaying or possessing courage."
4920,courier,noun,A person who looks after and guides tourists
4921,couriers,noun,A person who looks after and guides tourists
4922,course,noun,A sequence of events.
4923,courses,noun,A sequence of events.
4924,coursing,verb,To run or flow (especially of liquids and more particularly blood).
4925,court,noun,"An enclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different buildings; also, a space opening from a street and nearly surrounded by houses; a blind alley."
4926,courted,verb,To seek to achieve or win.
4927,courteous,adjective,"Showing regard or thought for others; especially, displaying good manners or etiquette."
4928,courtesy,noun,Polite behavior.
4929,courthouse,noun,A public building housing courts of law.
4930,courting,verb,To seek to achieve or win.
4931,courtroom,noun,"The room where a judge presides over hearings and trials, sometimes with a jury."
4932,courtrooms,noun,"The room where a judge presides over hearings and trials, sometimes with a jury."
4933,courts,noun,"An enclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different buildings; also, a space opening from a street and nearly surrounded by houses; a blind alley."
4934,courtship,noun,"The act of paying court, with the intent to solicit a favor."
4935,courtside,noun,The area that runs alongside the court of play.
4936,courtyard,noun,"An area, open to the sky, partially or wholly surrounded by walls or buildings."
4937,cousin,noun,The child of a person's uncle or aunt; a first cousin.
4938,cousins,noun,The child of a person's uncle or aunt; a first cousin.
4939,couture,noun,"The production of high-end, custom-made clothing"
4940,cove,noun,A hollow in a rock; a cave or cavern.
4941,coven,noun,A formal group or assembly of witches.
4942,covenant,noun,An agreement to do or not do a particular thing.
4943,cover,noun,A lid.
4944,coverage,noun,An amount by which something or someone is covered.
4945,coveralls,noun,A coverall.
4946,covered,verb,"To place something over or upon, as to conceal or protect."
4947,covering,verb,"To place something over or upon, as to conceal or protect."
4948,covers,noun,A lid.
4949,covert,noun,A covering.
4950,coverup,noun,"An attempt to conceal or disguise something, especially a wrongdoing or a mistake."
4951,covet,verb,"To wish for with eagerness; to desire possession of, often enviously."
4952,coveted,verb,"To wish for with eagerness; to desire possession of, often enviously."
4953,coveting,verb,"To wish for with eagerness; to desire possession of, often enviously."
4954,cow,noun,"(properly) An adult female of the species Bos taurus, especially one that has calved."
4955,coward,noun,A person who lacks courage.
4956,cowardice,noun,Lack of courage.
4957,cowardly,adjective,Showing cowardice; lacking in courage; weakly fearful.
4958,cowards,noun,A person who lacks courage.
4959,cowboy,noun,"A man who tends free-range cattle, especially in the American West."
4960,cowboys,noun,"A man who tends free-range cattle, especially in the American West."
4961,cowed,verb,(chiefly in the passive voice) To intimidate; to daunt the spirits or courage of.
4962,cower,verb,"To crouch or cringe, or to avoid or shy away from something, in fear."
4963,cowering,verb,"To crouch or cringe, or to avoid or shy away from something, in fear."
4964,cowgirl,noun,"A woman who tends free-range cattle, especially in the American West."
4965,coworker,noun,Somebody with whom one works.
4966,cows,noun,"(properly) An adult female of the species Bos taurus, especially one that has calved."
4967,cox,noun,"A coxswain of a boat, especially of a racing crew."
4968,coy,verb,"To caress, pet; to coax, entice."
4969,coyote,noun,"Canis latrans, a species of canine native to North America."
4970,coyotes,noun,"Canis latrans, a species of canine native to North America."
4971,coz,noun,Cousin (usually as a term of address)
4972,cozier,adjective,Affording comfort and warmth; snug; social
4973,cozy,noun,"A padded or knit covering put on an item to keep it warm, especially a teapot or egg."
4974,cozying,verb,To become snug and comfortable.
4975,crab,noun,"A crustacean of the infraorder Brachyura, having five pairs of legs, the foremost of which are in the form of claws, and a carapace."
4976,crabby,adjective,"Visibly irritated or annoyed; grouchy, irritable, in a foul mood; given to complaining or finding fault in an annoyed way."
4977,crabgrass,noun,"Those members of the genus Digitaria, grasses of tropical to temperate climates, which are pests of lawns, mainly from their invasive habits and the fact they die off in the fall and winter, leaving ugly bare patches."
4978,crabs,noun,"A crustacean of the infraorder Brachyura, having five pairs of legs, the foremost of which are in the form of claws, and a carapace."
4979,crack,noun,A thin and usually jagged space opened in a previously solid material.
4980,cracked,verb,To form cracks.
4981,cracker,noun,"A dry, thin, crispy baked bread (usually salty or savoury, but sometimes sweet, as in the case of graham crackers and animal crackers)."
4982,crackerjack,noun,An exceptionally fine or excellent thing or person.
4983,crackers,noun,"A dry, thin, crispy baked bread (usually salty or savoury, but sometimes sweet, as in the case of graham crackers and animal crackers)."
4984,cracking,verb,To form cracks.
4985,crackling,verb,"To make a fizzing, popping sound."
4986,crackpot,noun,"An eccentric, crazy or foolish person. A kook."
4987,cracks,noun,A thin and usually jagged space opened in a previously solid material.
4988,cradle,noun,"A bed or cot for a baby, oscillating on rockers or swinging on pivots."
4989,craft,noun,Strength; power; might; force .
4990,crafted,verb,To make by hand and with much skill.
4991,crafting,verb,To make by hand and with much skill.
4992,crafts,noun,Strength; power; might; force .
4993,craftsmanship,noun,The quality of being a craftsman.
4994,craftsmen,noun,A male artisan.
4995,crafty,adjective,"Relating to, or characterized by, craft or skill; dexterous."
4996,cram,noun,The act of cramming (forcing or stuffing something).
4997,crammed,verb,"To press, force, or drive, particularly in filling, or in thrusting one thing into another; to stuff; to fill to superfluity."
4998,cramming,verb,"To press, force, or drive, particularly in filling, or in thrusting one thing into another; to stuff; to fill to superfluity."
4999,cramp,noun,A painful contraction of a muscle which cannot be controlled.
5000,cramped,verb,(of a muscle) To contract painfully and uncontrollably.
5001,cramping,verb,(of a muscle) To contract painfully and uncontrollably.
5002,cramps,noun,A painful contraction of a muscle which cannot be controlled.
5003,cranberry,noun,A shrub belonging to the section Vaccinium sect. Oxycoccus of the genus Vaccinium.
5004,crane,noun,"Any bird of the family Gruidae, large birds with long legs and a long neck which is extended during flight."
5005,cranes,noun,"Any bird of the family Gruidae, large birds with long legs and a long neck which is extended during flight."
5006,cranial,adjective,"Of or relating to the cranium, or to the skull."
5007,cranium,noun,"The braincase or neurocranium; that part of the skull consisting of the bones enclosing the brain, but not including the bones of the face or jaw."
5008,crank,noun,"A bent piece of an axle or shaft, or an attached arm perpendicular, or nearly so, to the end of a shaft or wheel, used to impart a rotation to a wheel or other mechanical device; also used to change circular into reciprocating motion, or reciprocating into circular motion."
5009,cranking,verb,To turn by means of a crank.
5010,cranks,noun,"A bent piece of an axle or shaft, or an attached arm perpendicular, or nearly so, to the end of a shaft or wheel, used to impart a rotation to a wheel or other mechanical device; also used to change circular into reciprocating motion, or reciprocating into circular motion."
5011,cranky,adjective,"Weak, unwell."
5012,cranny,noun,"A small, narrow opening, fissure, crevice, or chink, as in a wall, or other substance."
5013,crap,noun,The husk of grain; chaff.
5014,crapped,verb,To defecate.
5015,crapper,adjective,(mildly) Of poor quality.
5016,crapping,verb,To defecate.
5017,crappy,adjective,(mildly) Of very poor quality; unpleasant; distasteful.
5018,craps,noun,"A game of gambling, or chance, where the players throw dice to make scores and avoid crap."
5019,crash,noun,"A sudden, intense, loud sound, as made for example by cymbals."
5020,crashed,verb,"To collide with something destructively, fall or come down violently."
5021,crashes,noun,"A sudden, intense, loud sound, as made for example by cymbals."
5022,crashing,verb,"To collide with something destructively, fall or come down violently."
5023,crass,adjective,Coarse; crude; unrefined or insensitive; lacking discrimination
5024,crate,noun,"A large open box or basket, used especially to transport fragile goods."
5025,crated,verb,To put into a crate.
5026,crater,noun,A hemispherical pit created by the impact of a meteorite or other object.
5027,crates,noun,"A large open box or basket, used especially to transport fragile goods."
5028,crave,noun,A formal application to a court to make a particular order.
5029,craves,verb,"To desire strongly, so as to satisfy an appetite; to long or yearn for."
5030,craving,noun,A strong desire; yearning.
5031,crawl,noun,"The act of moving slowly on hands and knees etc, or with frequent stops."
5032,crawled,verb,"To creep; to move slowly on hands and knees, or by dragging the body along the ground."
5033,crawlers,noun,"A person who is abused, physically or verbally, and returns to the abuser a supplicant."
5034,crawling,verb,"To creep; to move slowly on hands and knees, or by dragging the body along the ground."
5035,crawls,noun,"The act of moving slowly on hands and knees etc, or with frequent stops."
5036,crawly,adjective,Crawling around.
5037,crayons,noun,A stick of colored chalk or wax used for drawing.
5038,craze,noun,Craziness; insanity.
5039,crazed,verb,To weaken; to impair; to render decrepit.
5040,crazier,adjective,"Flawed or damaged; unsound, liable to break apart; ramshackle."
5041,craziest,adjective,"Flawed or damaged; unsound, liable to break apart; ramshackle."
5042,craziness,noun,The state of being crazy; madness; derangement
5043,crazy,noun,An insane or eccentric person; a crackpot.
5044,creak,noun,The sound produced by anything that creaks; a creaking.
5045,creaky,adjective,Tending to creak
5046,cream,noun,The butterfat/milkfat part of milk which rises to the top; this part when separated from the remainder.
5047,creamed,verb,"To puree, to blend with a liquifying process."
5048,creamer,noun,A jug for holding cream.
5049,creaming,verb,"To puree, to blend with a liquifying process."
5050,creamy,noun,A horse with a cream-coloured coat.
5051,crease,noun,"A line or mark made by folding or doubling any pliable substance; hence, a similar mark, however produced."
5052,creased,verb,To make a crease in; to wrinkle.
5053,creases,noun,"A line or mark made by folding or doubling any pliable substance; hence, a similar mark, however produced."
5054,create,verb,To bring into existence; (sometimes in particular:)
5055,created,verb,To bring into existence; (sometimes in particular:)
5056,creates,verb,To bring into existence; (sometimes in particular:)
5057,creating,verb,To bring into existence; (sometimes in particular:)
5058,creation,noun,Something created such as an invention or artwork.
5059,creations,noun,Something created such as an invention or artwork.
5060,creative,noun,A person directly involved in a creative marketing process.
5061,creatively,adverb,In a creative manner.
5062,creativity,noun,The ability to use imagination to produce a novel idea or product that is useful to society.
5063,creator,noun,Something or someone which creates or makes something.
5064,creature,noun,A living being; an animal or (sometimes derogatory) a human.
5065,creatures,noun,A living being; an animal or (sometimes derogatory) a human.
5066,credence,noun,"Acceptance of a belief or claim as true, especially on the basis of evidence."
5067,credentials,noun,(chiefly in the plural) documentary or electronic evidence that a person has certain status or privileges
5068,credenza,noun,A sideboard or buffet.
5069,credibility,noun,Reputation impacting one's ability to be believed.
5070,credible,adjective,Believable or plausible.
5071,credit,noun,Reliance on the truth of something said or done; faith; trust.
5072,credited,verb,To believe; to put credence in.
5073,credits,noun,Reliance on the truth of something said or done; faith; trust.
5074,credo,noun,A belief system.
5075,creed,noun,"That which is believed; accepted doctrine, especially religious doctrine; a particular set of beliefs; any summary of principles or opinions professed or adhered to."
5076,creeds,noun,"That which is believed; accepted doctrine, especially religious doctrine; a particular set of beliefs; any summary of principles or opinions professed or adhered to."
5077,creek,noun,"A small inlet or bay, often saltwater, narrower and extending farther into the land than a cove; a recess in the shore of the sea, or of a river; the inner part of a port that is used as a dock for small boats."
5078,creep,verb,To move slowly with the abdomen close to the ground.
5079,creepers,noun,A person or a thing that crawls or creeps.
5080,creeping,verb,To move slowly with the abdomen close to the ground.
5081,creeps,verb,To move slowly with the abdomen close to the ground.
5082,creepy,adjective,Moving by creeping along.
5083,cremated,verb,To burn something to ashes.
5084,cremation,noun,"A burning; especially the act or practice of cremating the dead, burning a corpse."
5085,crematorium,noun,A place where the bodies of dead people are cremated
5086,creme,noun,"A very sugary, fluffy white cream derivative."
5087,crepe,noun,"A flat round pancake-like pastry from Lower Brittany, made with wheat."
5088,crepes,noun,"A flat round pancake-like pastry from Lower Brittany, made with wheat."
5089,crept,verb,To move slowly with the abdomen close to the ground.
5090,crescent,noun,"The figure of the moon as it appears in its first or last quarter, with concave and convex edges terminating in points."
5091,crest,noun,The summit of a hill or mountain ridge.
5092,crested,verb,"Particularly with reference to waves, to reach a peak."
5093,cretins,noun,A person who fails to develop mentally and physically due to a congenital hypothyroidism.
5094,crevasse,noun,A crack or fissure in a glacier or snowfield; a chasm.
5095,crew,verb,"To make the shrill sound characteristic of a rooster; to make a sound in this manner, either in gaiety, joy, pleasure, or defiance."
5096,crewman,noun,"A member of a crew, especially the crew of a ship."
5097,crews,noun,A pen for livestock such as chickens or pigs
5098,crib,noun,"A baby’s bed with high, often slatted, often moveable sides, suitable for a child who has outgrown a cradle or bassinet."
5099,cribbage,noun,"A point-counting card game for two players, with variants for three or four players; the cribbage board used for scoring to 61 or 121 points in numerous small increments is characteristic."
5100,cribs,noun,"A baby’s bed with high, often slatted, often moveable sides, suitable for a child who has outgrown a cradle or bassinet."
5101,crick,noun,"A painful muscular cramp or spasm of some part of the body, as of the neck or back, making it difficult to move the part affected. (Compare catch.)"
5102,cricket,noun,"An insect in the order Orthoptera, especially family Gryllidae, that makes a chirping sound by rubbing its wing casings against combs on its hind legs."
5103,cried,verb,To shed tears; to weep.
5104,crier,noun,One who cries.
5105,cries,noun,A shedding of tears; the act of crying.
5106,crikey,interjection,An exclamation of astonishment.
5107,crime,noun,A specific act committed in violation of the law.
5108,crimes,noun,A specific act committed in violation of the law.
5109,criminal,noun,"A person who is guilty of a crime, notably breaking the law."
5110,criminalistics,noun,The scientific processing and study of evidence of crimes.
5111,criminally,adverb,In a criminal manner.
5112,criminals,noun,"A person who is guilty of a crime, notably breaking the law."
5113,criminology,noun,"The study of crime and criminals, especially their behaviour."
5114,crimp,noun,"A fastener or a fastening method that secures parts by bending metal around a joint and squeezing it together, often with a tool that adds indentations to capture the parts."
5115,crimson,noun,"A deep, slightly bluish red."
5116,cringe,noun,A posture or gesture of shrinking or recoiling.
5117,cripes,interjection,A mild curse or expression of surprise.
5118,cripple,noun,"(sometimes offensive) a person who has severely impaired physical abilities because of deformation, injury, or amputation of parts of the body."
5119,crippled,verb,To make someone a cripple; to cause someone to become physically impaired
5120,cripples,noun,"(sometimes offensive) a person who has severely impaired physical abilities because of deformation, injury, or amputation of parts of the body."
5121,crises,noun,A crucial or decisive point or situation; a turning point.
5122,crisis,noun,A crucial or decisive point or situation; a turning point.
5123,crisp,noun,A thin slice of fried potato eaten as a snack.
5124,crisps,noun,A thin slice of fried potato eaten as a snack.
5125,crispy,noun,The well-baked fat on the surface of a piece of roasted meat.
5126,criteria,noun,A single criterion.
5127,criterion,noun,A standard or test by which individual things or people may be compared and judged.
5128,critic,noun,A person who appraises the works of others.
5129,critical,noun,"A critical value, factor, etc."
5130,critically,adverb,"In a critical manner; with, or in terms of, criticism."
5131,criticism,noun,The act of criticising; a critical judgment passed or expressed
5132,criticize,verb,To find fault (with something).
5133,criticized,verb,To find fault (with something).
5134,criticizing,verb,To find fault (with something).
5135,critics,noun,A person who appraises the works of others.
5136,critter,noun,"(usually affectionate) A creature, an animal."
5137,critters,noun,"(usually affectionate) A creature, an animal."
5138,croak,noun,"A faint, harsh sound made in the throat."
5139,croaker,noun,One who croaks.
5140,croc,noun,A crocodile.
5141,crock,noun,A stoneware or earthenware jar or storage container.
5142,crocket,noun,Any of a series of hook-shaped decorative floral elements used in Gothic architecture.
5143,crocodile,noun,"Any of the predatory amphibious reptiles of the family Crocodylidae; a crocodilian, any species of the order Crocodilia, which also includes the alligators, caimans and gavials."
5144,crocodiles,noun,"Any of the predatory amphibious reptiles of the family Crocodylidae; a crocodilian, any species of the order Crocodilia, which also includes the alligators, caimans and gavials."
5145,croft,noun,"An enclosed piece of land, usually small and arable and used for small-scale food production, and often with a dwelling next to it; in particular, such a piece of land rented to a farmer (a crofter), especially in Scotland, together with a right to use separate pastureland shared by other crofters."
5146,croissants,noun,A flaky roll or pastry in a form of a crescent.
5147,cronies,noun,(originally Cambridge University) Close friend.
5148,crook,noun,A bend; turn; curve; curvature; a flexure.
5149,crooked,verb,"To bend, or form into a hook."
5150,crooks,noun,A bend; turn; curve; curvature; a flexure.
5151,croon,noun,A soft or sentimental hum or song.
5152,crop,noun,"A plant, especially a cereal, grown to be harvested as food, livestock fodder or fuel or for any other economic purpose."
5153,cropped,verb,"To remove the top end of something, especially a plant."
5154,crops,noun,"A plant, especially a cereal, grown to be harvested as food, livestock fodder or fuel or for any other economic purpose."
5155,croquet,noun,"(games) A game played on a lawn, in which players use mallets to drive balls through hoops (wickets)."
5156,cross,noun,A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.
5157,crossbow,noun,"A mechanised weapon, based on the bow and arrow, that shoots bolts."
5158,crossed,verb,To make or form a cross.
5159,crosses,noun,A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.
5160,crossfire,noun,Lines of fire from multiple positions that cross in a small region
5161,crosshairs,noun,Reticle.
5162,crossing,verb,To make or form a cross.
5163,crossroads,noun,A crossroads (place where one road crosses another).
5164,crossword,noun,"(games, puzzles) A word puzzle in which interlocking words are entered usually horizontally and vertically into a grid based on clues given for each word."
5165,crotch,noun,"The area where something forks or branches, a ramification takes place."
5166,crouch,noun,A bent or stooped position.
5167,crouched,verb,"To bend down; to stoop low; to stand close to the ground with legs bent, like an animal when waiting for prey, or someone in fear."
5168,crouching,verb,"To bend down; to stoop low; to stand close to the ground with legs bent, like an animal when waiting for prey, or someone in fear."
5169,croupier,noun,"The person who collects bets and pays out winnings at a gambling table, such as in a casino."
5170,croutons,noun,"A small, often seasoned, piece of dry or fried bread."
5171,crow,noun,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call."
5172,crowbar,noun,"An iron or steel bar, often with a flattened end which may also be hook-shaped, to be used as a lever to manually force things apart."
5173,crowd,noun,A group of people congregated or collected into a close body without order.
5174,crowded,verb,To press forward; to advance by pushing.
5175,crowding,verb,To press forward; to advance by pushing.
5176,crowds,noun,A group of people congregated or collected into a close body without order.
5177,crowed,verb,"To make the shrill sound characteristic of a rooster; to make a sound in this manner, either in gaiety, joy, pleasure, or defiance."
5178,crowing,verb,"To make the shrill sound characteristic of a rooster; to make a sound in this manner, either in gaiety, joy, pleasure, or defiance."
5179,crown,noun,"A royal, imperial or princely headdress; a diadem."
5180,crowned,verb,To place a crown on the head of.
5181,crowning,verb,To place a crown on the head of.
5182,crowns,noun,"A royal, imperial or princely headdress; a diadem."
5183,crows,noun,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call."
5184,crucial,adjective,Essential or decisive for determining the outcome or future of something; extremely important.
5185,crucible,noun,A cup-shaped piece of laboratory equipment used to contain chemical compounds when heating them to very high temperatures.
5186,crucified,adjective,That has been subject to crucifixion
5187,crucifix,noun,"A wooden cross used for crucifixions, as by the Romans."
5188,crucifixion,noun,An execution by being nailed or tied to an upright cross and left to hang there until dead.
5189,crucify,verb,To execute (a person) by nailing to a cross.
5190,crud,noun,"Dirt, filth or refuse."
5191,crude,noun,Any substance in its natural state.
5192,crudely,adverb,In a crude manner.
5193,cruel,verb,To spoil or ruin (one's chance of success)
5194,cruelly,adverb,In a cruel manner.
5195,cruelty,noun,An indifference to suffering or pleasure in inflicting suffering.
5196,cruise,noun,"A sea or lake voyage, especially one taken for pleasure."
5197,cruised,verb,"To sail about, especially for pleasure."
5198,cruiser,noun,One who attends cruises.
5199,cruisers,noun,One who attends cruises.
5200,cruises,noun,"A sea or lake voyage, especially one taken for pleasure."
5201,cruising,verb,"To sail about, especially for pleasure."
5202,crumb,noun,"A small piece which breaks off from baked food (such as cake, biscuit or bread)."
5203,crumble,noun,"A dessert of British origin containing stewed fruit topped with a crumbly mixture of fat, flour, and sugar."
5204,crumbled,verb,To fall apart; to disintegrate.
5205,crumbles,noun,"A dessert of British origin containing stewed fruit topped with a crumbly mixture of fat, flour, and sugar."
5206,crumbling,verb,To fall apart; to disintegrate.
5207,crumbs,noun,"A small piece which breaks off from baked food (such as cake, biscuit or bread)."
5208,crummy,noun,"A small van, bus, or railway car used to transport loggers or other resource workers to and from the worksite."
5209,crumpets,noun,"A type of savoury cake, typically flat and round, made from batter and yeast, containing many small holes and served toasted, usually with butter."
5210,crumpled,verb,To rumple; to press into wrinkles by crushing together.
5211,crunch,noun,A noisy crackling sound; the sound usually associated with crunching.
5212,crunched,verb,"To crush something, especially food, with a noisy crackling sound."
5213,crunches,noun,A noisy crackling sound; the sound usually associated with crunching.
5214,crunchy,noun,(usually in the plural) A pellet of dry cat food.
5215,crusade,noun,Any of the military expeditions undertaken by the Christians of Europe in the 11th to 13th centuries to reconquer the Levant from the Muslims.
5216,crusader,noun,A fighter in the medieval Crusades.
5217,crusades,noun,Any of the military expeditions undertaken by the Christians of Europe in the 11th to 13th centuries to reconquer the Levant from the Muslims.
5218,crush,noun,A violent collision or compression; a crash; destruction; ruin.
5219,crushed,verb,"To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass."
5220,crushes,noun,A violent collision or compression; a crash; destruction; ruin.
5221,crushing,verb,"To press between two hard objects; to squeeze so as to alter the natural shape or integrity of it, or to force together into a mass."
5222,crust,noun,"A more solid, dense or hard layer on a surface or boundary."
5223,crusts,noun,"A more solid, dense or hard layer on a surface or boundary."
5224,crusty,noun,A tramp or homeless young person with poor cleanliness.
5225,crutch,noun,"A device to assist in motion as a cane, especially one that provides support under the arm to reduce weight on a leg."
5226,crutches,noun,"A device to assist in motion as a cane, especially one that provides support under the arm to reduce weight on a leg."
5227,crux,noun,"The basic, central, or essential point or feature."
5228,cry,noun,A shedding of tears; the act of crying.
5229,crying,verb,To shed tears; to weep.
5230,cryogenic,adjective,"Of, relating to, or performed at low temperatures."
5231,crypt,noun,A cave or cavern.
5232,cryptic,noun,A cryptic crossword.
5233,crypto,noun,A secret supporter or follower.
5234,crypts,noun,A cave or cavern.
5235,crystal,noun,A solid composed of an array of atoms or molecules possessing long-range order and arranged in a pattern which is periodic in three dimensions.
5236,crystals,noun,A solid composed of an array of atoms or molecules possessing long-range order and arranged in a pattern which is periodic in three dimensions.
5237,cub,noun,A young fox.
5238,cubbies,noun,"A small, confined space."
5239,cubby,noun,"A small, confined space."
5240,cube,noun,A regular polyhedron having six identical square faces.
5241,cubed,verb,To raise to the third power; to determine the result of multiplying by itself twice.
5242,cubes,noun,A regular polyhedron having six identical square faces.
5243,cubic,noun,A cubic curve.
5244,cubicle,noun,"A small separate part or one of the compartments of a room, especially in a work environment."
5245,cubs,noun,"A person who is unsophisticated or of a lower class background but achieving a high salary, who spends money on flashy or trashy items to fulfil their aspirations of higher social status. The stereotype includes having speech and mannerisms that are considered to denote poor education and uncultured upbringing, which is reflected in their bad taste possessions and lifestyles."
5246,cuckoo,noun,The two-note sound made by the cuckoo.
5247,cucumber,noun,"A vine in the gourd family, Cucumis sativus."
5248,cud,noun,"The portion of food which is brought back into the mouth by ruminating animals from their first stomach, to be chewed a second time."
5249,cuddle,noun,"A snuggle; an affectionate embrace, often given to family members and close friends."
5250,cuddled,verb,"To embrace affectionately, lie together snugly."
5251,cuddles,noun,"A snuggle; an affectionate embrace, often given to family members and close friends."
5252,cuddly,adjective,Suitable for cuddling; designed to be cuddled.
5253,cuddy,noun,"A cabin, for the use of the captain, in the after part of a sailing ship under the poop deck."
5254,cuff,noun,Glove; mitten
5255,cuffed,verb,To furnish with cuffs.
5256,cuffing,verb,To furnish with cuffs.
5257,cuffs,noun,Glove; mitten
5258,cuisine,noun,"A characteristic style of preparing food, often associated with a place of origin."
5259,culinary,adjective,Relating to the practice of cookery or the activity of cooking.
5260,culminating,verb,"Of a heavenly body, to be at the highest point, reach its greatest altitude."
5261,culmination,noun,The attainment of the highest point of altitude reached by a heavenly body; passage across the meridian; transit.
5262,culottes,noun,A type of loose shorts which look like a skirt; a divided skirt.
5263,culpa,noun,"Negligence or fault, as distinguishable from dolus (deceit, fraud), which implies intent, culpa being imputable to defect of intellect, dolus to defect of heart."
5264,culpability,noun,The degree of one's blameworthiness in the commission of a crime or offence.
5265,culpable,adjective,"Meriting condemnation, censure or blame, especially as something wrong, harmful or injurious; blameworthy."
5266,cult,noun,"A group or sect of people with a deviant religious, philosophical or cultural identity, often existing on the margins of society or exploitative towards its members."
5267,cultivate,verb,"To grow plants, notably crops"
5268,cultivated,verb,"To grow plants, notably crops"
5269,cultivating,verb,"To grow plants, notably crops"
5270,cultural,adjective,Pertaining to culture.
5271,culturally,adverb,In a cultural way.
5272,culture,noun,"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation."
5273,cultured,verb,To maintain in an environment suitable for growth (especially of bacteria) (compare cultivate)
5274,cultures,noun,"The arts, customs, lifestyles, background, and habits that characterize a particular society or nation."
5275,cum,preposition,"Used in indicating a thing with two roles, functions, or natures, or a thing that has changed from one to another."
5276,cumin,noun,"The flowering plant Cuminum cyminum, in the family Apiaceae."
5277,cummerbund,noun,"A broad sash, especially one that is pleated lengthwise and worn as an article of formal dress, as around a man's waist together with a tuxedo or dinner jacket."
5278,cumulative,adjective,Incorporating all current and previous data up to the present or at the time of measuring or collating
5279,cuneiform,noun,"An ancient Mesopotamian writing system, adapted within several language families, originating as pictograms in Sumer around the 30th century BC, evolving into more abstract and characteristic wedge shapes formed by a blunt reed stylus on clay tablets."
5280,cunning,adjective,Sly; crafty; clever in surreptitious behaviour.
5281,cunt,noun,"The female genitalia, especially the vulva."
5282,cunts,noun,"The female genitalia, especially the vulva."
5283,cup,noun,"A concave vessel for drinking from, usually made of opaque material (as opposed to a glass) and with a handle."
5284,cupboard,noun,A board or table used to openly hold and display silver plate and other dishware; a sideboard; a buffet.
5285,cupboards,noun,A board or table used to openly hold and display silver plate and other dishware; a sideboard; a buffet.
5286,cupcake,noun,"A small cake baked in a paper container shaped like a cup, often with icing on top."
5287,cupcakes,noun,"A small cake baked in a paper container shaped like a cup, often with icing on top."
5288,cuppa,noun,(Commonwealth of Nations except Canada) A cup of tea (or sometimes any hot drink).
5289,cups,noun,"A concave vessel for drinking from, usually made of opaque material (as opposed to a glass) and with a handle."
5290,cur,noun,A contemptible or inferior dog.
5291,curacao,noun,"A liqueur, made from eau-de-vie, sugar and, as flavor, dried peel of sweet and sour oranges."
5292,curate,noun,An assistant rector or vicar.
5293,curator,noun,"A person who manages, administers or organizes a collection, either independently or employed by a museum, library, archive or zoo."
5294,curb,noun,"A concrete margin along the edge of a road; a kerb (UK, Australia, New Zealand)"
5295,curd,noun,"The part of milk that coagulates when it sours or is treated with enzymes; used to make cottage cheese, dahi, etc."
5296,curdle,verb,To form curds so that it no longer flows smoothly; to cause to form such curds. (usually said of milk)
5297,cure,noun,"A method, device or medication that restores good health."
